channel,background,Co60_100cm,Co60_200cm,Co57_53cm,Co57_30cm,Cs137_100cm,Cs137_200cm
145,0.34,1.3944444444444444,0.6277777777777778,0.31333333333333335,0.36333333333333334,0.35,0.3277777777777778
146,0.3333333333333333,1.2333333333333334,0.5,0.23666666666666666,0.2633333333333333,0.36666666666666664,0.34444444444444444
147,0.26666666666666666,1.2666666666666666,0.5277777777777778,0.36,0.28,0.3055555555555556,0.2777777777777778
148,0.25333333333333335,0.8666666666666667,0.45,0.23333333333333334,0.30333333333333334,0.2777777777777778,0.2222222222222222
149,0.28,0.8833333333333333,0.4388888888888889,0.25333333333333335,0.31,0.2222222222222222,0.28888888888888886
150,0.24666666666666667,0.8111111111111111,0.37777777777777777,0.22333333333333333,0.24333333333333335,0.29444444444444445,0.2777777777777778
151,0.23666666666666666,0.8611111111111112,0.36666666666666664,0.2733333333333333,0.26666666666666666,0.24444444444444444,0.2722222222222222
152,0.19666666666666666,0.6555555555555556,0.37222222222222223,0.20666666666666667,0.22,0.24444444444444444,0.25555555555555554
153,0.17333333333333334,0.5888888888888889,0.25555555555555554,0.21666666666666667,0.27666666666666667,0.2222222222222222,0.18888888888888888
154,0.21666666666666667,0.5,0.25555555555555554,0.2,0.24,0.17222222222222222,0.20555555555555555
155,0.20666666666666667,0.43333333333333335,0.2777777777777778,0.22666666666666666,0.20666666666666667,0.24444444444444444,0.19444444444444445
156,0.19333333333333333,0.3111111111111111,0.3055555555555556,0.19333333333333333,0.2,0.2,0.25555555555555554
157,0.19666666666666666,0.3611111111111111,0.15,0.19,0.16333333333333333,0.2222222222222222,0.21666666666666667
158,0.2,0.26666666666666666,0.25,0.21333333333333335,0.19666666666666666,0.2,0.1111111111111111
159,0.16,0.24444444444444444,0.15,0.14666666666666667,0.15666666666666668,0.2,0.17222222222222222
160,0.2,0.29444444444444445,0.2,0.18333333333333332,0.14333333333333334,0.17777777777777778,0.15555555555555556
161,0.21666666666666667,0.22777777777777777,0.2,0.15666666666666668,0.15333333333333332,0.15555555555555556,0.21666666666666667
162,0.2,0.22777777777777777,0.1,0.15,0.19,0.16666666666666666,0.12222222222222222
163,0.17,0.13333333333333333,0.09444444444444444,0.16666666666666666,0.18666666666666668,0.1,0.18333333333333332
164,0.17,0.19444444444444445,0.1,0.16333333333333333,0.18333333333333332,0.1388888888888889,0.12222222222222222
165,0.16333333333333333,0.15555555555555556,0.14444444444444443,0.18333333333333332,0.21333333333333335,0.1,0.15
166,0.16333333333333333,0.18333333333333332,0.10555555555555556,0.16333333333333333,0.18666666666666668,0.13333333333333333,0.12777777777777777
167,0.14666666666666667,0.17222222222222222,0.1388888888888889,0.15333333333333332,0.17,0.14444444444444443,0.1388888888888889
168,0.14666666666666667,0.18888888888888888,0.08333333333333333,0.16,0.17333333333333334,0.1111111111111111,0.08333333333333333
169,0.17,0.12777777777777777,0.1,0.19666666666666666,0.14,0.09444444444444444,0.06111111111111111
170,0.19333333333333333,0.11666666666666667,0.1388888888888889,0.18,0.14333333333333334,0.12222222222222222,0.07777777777777778
171,0.15,0.13333333333333333,0.1388888888888889,0.13,0.18,0.08333333333333333,0.12777777777777777
172,0.18333333333333332,0.17222222222222222,0.11666666666666667,0.13,0.2,0.12777777777777777,0.10555555555555556
173,0.20666666666666667,0.09444444444444444,0.11666666666666667,0.14333333333333334,0.19333333333333333,0.07777777777777778,0.12777777777777777
174,0.15666666666666668,0.14444444444444443,0.09444444444444444,0.18666666666666668,0.19,0.10555555555555556,0.09444444444444444
175,0.18333333333333332,0.1,0.1111111111111111,0.16666666666666666,0.18333333333333332,0.10555555555555556,0.12222222222222222
176,0.15666666666666668,0.11666666666666667,0.12777777777777777,0.21333333333333335,0.15333333333333332,0.09444444444444444,0.1
177,0.17333333333333334,0.1388888888888889,0.1111111111111111,0.20666666666666667,0.16333333333333333,0.12777777777777777,0.1111111111111111
178,0.2,0.1111111111111111,0.08333333333333333,0.21,0.17333333333333334,0.09444444444444444,0.12222222222222222
179,0.17,0.11666666666666667,0.07777777777777778,0.2,0.12666666666666668,0.08888888888888889,0.10555555555555556
180,0.19,0.1,0.044444444444444446,0.18,0.19666666666666666,0.07222222222222222,0.1
181,0.18333333333333332,0.10555555555555556,0.08888888888888889,0.23333333333333334,0.15333333333333332,0.1111111111111111,0.16111111111111112
182,0.23666666666666666,0.14444444444444443,0.07222222222222222,0.16666666666666666,0.22,0.09444444444444444,0.1111111111111111
183,0.21,0.09444444444444444,0.11666666666666667,0.19,0.15,0.10555555555555556,0.1111111111111111
184,0.17666666666666667,0.08333333333333333,0.07777777777777778,0.16666666666666666,0.17666666666666667,0.07777777777777778,0.1111111111111111
185,0.18333333333333332,0.12222222222222222,0.11666666666666667,0.21333333333333335,0.15666666666666668,0.10555555555555556,0.09444444444444444
186,0.17666666666666667,0.09444444444444444,0.1111111111111111,0.18333333333333332,0.15,0.1111111111111111,0.12222222222222222
187,0.18,0.1,0.16111111111111112,0.12666666666666668,0.15,0.1,0.07222222222222222
188,0.15,0.12777777777777777,0.08888888888888889,0.17333333333333334,0.13,0.10555555555555556,0.12777777777777777
189,0.14333333333333334,0.1,0.07222222222222222,0.14666666666666667,0.15666666666666668,0.14444444444444443,0.12222222222222222
190,0.12333333333333334,0.06666666666666667,0.11666666666666667,0.12,0.15,0.05555555555555555,0.13333333333333333
